Name,Pos,Age,Date of Death,Include,BirthDate,Yrs,From,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Tkl,Int,Sk,,,,,,,
Julius Adams,DE-DT,67,3/24/2016,1,4/26/1948,16,1971,1987,0,1,12,61,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19,,,,,,,
Dick Alban,DB,87,3/18/2016,1,1/17/1929,8,1952,1959,0,1,8,0,96,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,30,,,,,,,,
Chuck Allen,LB,77,12/15/2016,0,9/7/1939,12,1961,1972,0,2,9,59,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,,,,,,,,
Dalva Allen,DE,81,11/28/2016,0,1/13/1935,5,1960,1964,0,0,5,34,70,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,,,,,,,,
Rudy Andabaker,G,88,9/25/2016,0,8/1/1928,2,1952,1954,0,0,0,0,10,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Taz Anderson,TE,77,9/26/2016,0,11/15/1938,6,1961,1967,0,0,3,12,62,0,0,0,0,0,0,,,15,39,1,19,87,1335,9,78,,,,,,,,,,
Antonio Armstrong,LB,42,7/29/2016,0,10/15/1973,1,1995,1995,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Neill Armstrong,E-DB/Coach,90,8/10/2016,0,3/9/1926,5,1947,1951,0,0,0,0,54,0,0,0,0,0,0,,,0,0,0,0,76,961,11,46,,9,,,,,,,,
Ceasar Belser,DB,71,3/5/2016,1,9/13/1944,5,1968,1974,0,0,0,13,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
John Binotto,HB,96,2/19/2016,1,11/24/1919,1,1942,1942,0,0,0,0,9,0,0,0,0,0,0,,,17,47,0,30,0,0,0,0,,,,,,,,,,
Richard Bishop,DE-NT,66,9/26/2016,0,3/23/1950,8,1976,1983,0,0,3,28,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Joe Blahak,DB,65,4/25/2016,1,8/29/1950,5,1973,1977,0,0,0,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,
Cary Blanchard,K,47,9/12/2016,0,11/5/1968,8,1992,2000,1,1,8,21,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Wayne Bock,DT,82,9/11/2016,0,5/28/1934,1,1957,1957,0,0,0,0,4,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Dorian Boose,DE,42,11/22/2016,0,1/29/1974,4,1998,2001,0,0,0,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,,,,,,,,,
Ron Brace,DT,29,4/23/2016,1,12/18/1986,4,2009,2012,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,,,,,,,
Larry Brink,DE-E,92,8/7/2016,0,9/12/1923,7,1948,1954,1,2,5,0,82,0,0,0,0,0,0,,,1,-3,0,0,4,36,0,18,,1,,,,,,,,
Fred Bruney,DB/Coach,84,1/22/2016,1,12/30/1931,7,1953,1962,0,2,4,16,77,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,15,,,,,,,,
Rudy Bukich,QB,85,2/29/2016,1,9/15/1930,14,1953,1968,0,0,2,30,103,626,1190,8433,61,88,74,,,112,109,9,24,0,0,0,0,,,,,,,,,,
Bobby Burnett,RB,73,10/1/2016,0,1/4/1943,3,1966,1969,0,1,1,12,25,0,0,0,0,0,0,0,0,237,871,4,32,45,533,4,48,,,,,,,,,,
Dennis Byrd,DT-DE,50,10/15/2016,0,10/5/1966,4,1989,1992,0,0,2,19,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,28,,,,,,,
Patrick Cain,C-G,53,3/14/2016,1,10/1/1962,1,1987,1987,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Marion Campbell,DE-DT-MG-G-T/Coach,87,7/13/2016,0,5/25/1929,8,1954,1961,0,2,7,14,94,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,3,,,,,,,,
Pete Carmichael,Coach,74,1/22/2016,1,3/4/1941,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keion Carpenter,DB,39,12/29/2016,0,10/31/1977,6,1999,2005,0,0,3,24,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,14,,,,,,,,
Roger Chanoine,T,39,7/14/2016,0,9/11/1976,4,1999,2002,0,0,1,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Henry Childs,TE,65,6/3/2016,0,4/16/1951,9,1974,1984,0,1,4,34,103,0,0,0,0,0,0,0,0,4,12,1,16,223,3401,28,59,,,,,,,,,,
Gail Cogdill,SE-WR,79,10/20/2016,0,4/7/1937,11,1960,1970,0,3,8,53,127,0,0,0,0,0,0,0,0,2,-2,0,2,356,5696,34,84,,,,,,,,,,
Linzy Cole,WR,68,9/21/2016,0,4/21/1948,3,1970,1972,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,3,47,0,34,,,,,,,,,,
Paige Cothren,K,81,9/1/2016,0,7/12/1935,3,1957,1959,0,0,0,0,31,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Tom DeLeone,C,65,5/22/2016,1,8/13/1950,13,1972,1984,0,2,8,54,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leon Donohue,G-T,77,8/11/2016,0,3/25/1939,6,1962,1967,0,0,5,29,84,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
David Douglas,C-T-G,52,2/27/2016,1,3/20/1963,5,1986,1990,0,0,1,7,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Randy Duncan,QB,79,9/27/2016,0,3/15/1937,1,1961,1961,0,0,0,2,14,25,67,361,1,47,3,,,5,42,0,19,0,0,0,0,,,,,,,,,,
Robert Eddins,LB,28,12/20/2016,0,10/11/1988,1,2011,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dave Edwards,LB,76,12/5/2016,0,12/14/1939,13,1963,1975,0,0,11,68,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,,,,,,,,
Jimbo Elrod,LB,62,12/12/2016,0,5/25/1954,4,1976,1979,0,0,0,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,
Earl Faison,DE,77,6/12/2016,0,1/31/1939,6,1961,1966,4,5,5,57,73,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,6,,,,,,,,
Doug France,T,62,4/8/2016,1,4/26/1953,8,1975,1983,0,2,6,41,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Lorenzo Freeman,NT-DT,52,10/10/2016,0,5/23/1964,5,1987,1991,0,0,0,7,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.5,,,,,,,
Bob Gain,DT-DE-MG-T,87,11/14/2016,0,6/21/1929,12,1952,1964,0,5,8,37,125,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,,,,,,,,
